pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KEGG-Module-M00200: Putative sorbitol/mannitol transport system	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	0.164966205563401	75.5	0.164966205563401	0.150050735667174	87.0	0.15264309046733301	0.046121659082265926	25	0.26718715981330127
KEGG-Pathway-pae00500: Starch and sucrose metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00500: Starch and sucrose metabolism - Pseudomonas aeruginosa PAO1	0.16967871485943803	74.0	0.16967871485943803	0.20822722469958302	77.0	0.2509325535847064	0.208007167779536	25	-0.3906299941134154
KEGG-Module-M00260: DNA polymerase III complex, bacteria	KEGG-Module-M00260: DNA polymerase III complex, bacteria	0.172329597545232	73.0	0.172329597545232	0.18383195718412998	81.0	0.18093572834656058	0.046161804991834844	25	-0.18643401840224488
KEGG-Pathway-pae00340: Histidine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00340: Histidine metabolism - Pseudomonas aeruginosa PAO1	0.179445821589867	72.0	0.179445821589867	0.21220902153965	76.0	0.2494287519401428	0.14887694667078902	25	-0.4700723108261266
KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	0.188785260213832	71.0	0.188785260213832	0.42562962962963	51.0	0.3816812159948046	0.20863183857273312	25	-0.9245758322439617
KEGG-Module-M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	KEGG-Module-M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	0.211309223437062	70.0	0.211309223437062	0.25216332748466397	70.0	0.24935349013385733	0.0853701783230282	25	-0.4456388336550197
KEGG-Pathway-pae00930: Caprolactam degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00930: Caprolactam degradation - Pseudomonas aeruginosa PAO1	0.221621542685242	69.0	0.221621542685242	0.6206304234083929	26.0	0.5970747325859435	0.22681819300332842	25	-1.6553045632243084
KEGG-Module-M00299: Spermidine/putrescine transport system	KEGG-Module-M00299: Spermidine/putrescine transport system	0.224492110126871	66.5	0.224492110126871	0.0887476459510358	96.0	0.1147728884872223	0.10860347385148453	25	1.0102735920739512
KEGG-Module-M00185: Sulfate transport system	KEGG-Module-M00185: Sulfate transport system	0.224492110126871	66.5	0.224492110126871	0.52499667891777	41.0	0.546212668849196	0.16600582661237318	25	-1.9380076307414722
KEGG-Pathway-pae04122: Sulfur relay system - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae04122: Sulfur relay system - Pseudomonas aeruginosa PAO1	0.224492110126871	66.5	0.224492110126871	0.0389163695932888	113.0	0.06313014143364329	0.06567758052375769	25	2.456880527668919
KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	0.224492110126871	66.5	0.224492110126871	0.16798932509305403	84.0	0.17166966942834677	0.06735307730748889	25	0.7842617265633234
KEGG-Pathway-pae00730: Thiamine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00730: Thiamine metabolism - Pseudomonas aeruginosa PAO1	0.22596388684212698	64.0	0.22596388684212698	0.0902604200046999	95.0	0.11961889913510197	0.06198760106241677	25	1.715584824777196
KEGG-Module-M00230: Glutamate/aspartate transport system	KEGG-Module-M00230: Glutamate/aspartate transport system	0.22988106593311605	63.0	0.22988106593311605	0.5865524215057349	33.0	0.5460686342722285	0.18723038359625263	25	-1.6887620602270712
KEGG-Pathway-pae03410: Base excision repair - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03410: Base excision repair - Pseudomonas aeruginosa PAO1	0.27133265732546696	62.0	0.27133265732546696	0.654063709437332	21.0	0.6320283048319076	0.22349808777315125	25	-1.6138645797835365
KEGG-Module-M00300: Putrescine transport system	KEGG-Module-M00300: Putrescine transport system	0.27646564211858304	61.0	0.27646564211858304	0.28548647402397803	65.0	0.3326343547160293	0.16034674737292057	25	-0.3502953038817429
KEGG-Pathway-pae00350: Tyrosine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00350: Tyrosine metabolism - Pseudomonas aeruginosa PAO1	0.279391574949088	60.0	0.279391574949088	0.6782301804167821	18.0	0.6141276685053577	0.22466188764228534	25	-1.4899549588457497
KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	0.28197799257971196	59.0	0.28197799257971196	0.592972626507089	31.0	0.557161816020065	0.15478344449968623	25	-1.7778634163998777
KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0.282675196009936	57.0	0.282675196009936	0.242809741745669	72.0	0.27293238756419547	0.11763108834267147	25	0.08282511522259102
KEGG-Pathway-pae03420: Nucleotide excision repair - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03420: Nucleotide excision repair - Pseudomonas aeruginosa PAO1	0.282675196009936	57.0	0.282675196009936	0.312740035022111	62.0	0.33493298861100507	0.1059088749459215	25	-0.4934222238481203
KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa PAO1	0.282675196009936	57.0	0.282675196009936	0.36111111111111105	56.0	0.36651197643603406	0.11304765505492156	25	-0.7416056563523401
KEGG-Pathway-pae00590: Arachidonic acid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00590: Arachidonic acid metabolism - Pseudomonas aeruginosa PAO1	0.30045684199925	54.5	0.30045684199925	0.43177149130419	50.0	0.44219504158506284	0.13116776920149398	25	-1.0805871019128264
KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	0.30045684199925	54.5	0.30045684199925	0.34167206273832695	57.0	0.3424389526066714	0.0785390565760186	25	-0.5345380048815149
KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	0.334022316327217	53.0	0.334022316327217	0.28505265119746503	66.0	0.3005532831460217	0.10401753488193033	25	0.3217633759460442
KEGG-Pathway-pae00051: Fructose and mannose metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00051: Fructose and mannose metabolism - Pseudomonas aeruginosa PAO1	0.34851807729102396	52.0	0.34851807729102396	0.653504054488471	22.0	0.6164247217881947	0.1475460106433502	25	-1.8157498351125032
KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA	KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA	0.35165734018955397	50.5	0.35165734018955397	0.326396279216428	60.0	0.30377079040951743	0.10218791473497665	25	0.4686126525257887
KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine	KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine	0.35165734018955397	50.5	0.35165734018955397	0.521604938271605	42.0	0.5240134785834062	0.1274847383914722	25	-1.3519746800169266
KEGG-Module-M00349: Microcin C transport system	KEGG-Module-M00349: Microcin C transport system	0.3571141938466071	49.0	0.3571141938466071	0.192097976206755	80.0	0.20245127230049548	0.09524792459455668	25	1.623793087402877
KEGG-Pathway-pae02060: Phosphotransferase system (PTS) - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae02060: Phosphotransferase system (PTS) - Pseudomonas aeruginosa PAO1	0.371642202548912	47.5	0.371642202548912	0.47781337047353795	44.0	0.4637966948843559	0.05485388876918457	25	-1.679999256264467
KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	0.371642202548912	47.5	0.371642202548912	0.328037197046297	59.0	0.32649421563207154	0.10599283240838288	25	0.42595320731583497
KEGG-Pathway-pae00561: Glycerolipid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00561: Glycerolipid metabolism - Pseudomonas aeruginosa PAO1	0.38064347415305705	46.0	0.38064347415305705	0.513626603956853	43.0	0.5361096906220313	0.20901410088051772	25	-0.7438073116313144
KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa PAO1	0.43743054526596503	43.5	0.43743054526596503	0.43766990675863704	49.0	0.46056111692007407	0.17496739736420758	25	-0.13219932400298004
KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	0.43743054526596503	43.5	0.43743054526596503	0.257875546035452	68.0	0.2724998999299056	0.07671812592198102	25	2.1498263070683805
KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1	0.43743054526596503	43.5	0.43743054526596503	0.8226559147207031	4.0	0.8210930906103924	0.09123087984282194	25	-4.205402227901609
KEGG-Module-M00222: Phosphate transport system	KEGG-Module-M00222: Phosphate transport system	0.43743054526596503	43.5	0.43743054526596503	0.6194060128097011	28.5	0.5776129739008526	0.226195117292153	25	-0.6197411788240698
KEGG-Pathway-pae00312: beta-Lactam resistance - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00312: beta-Lactam resistance - Pseudomonas aeruginosa PAO1	0.45076163327265295	41.0	0.45076163327265295	0.564348348348348	34.0	0.5340663522020037	0.1003199558134824	25	-0.830390307230928
KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa PAO1	0.466902654867257	40.0	0.466902654867257	0.25725110863458	69.0	0.28239409363867546	0.16236436130770068	25	1.136385840725939
KEGG-Module-M00323: Urea transport system	KEGG-Module-M00323: Urea transport system	0.467052531211823	38.5	0.467052531211823	0.3006757944628449	63.0	0.3511268023416769	0.2154023810136812	25	0.538182207293164
KEGG-Module-M00254: ABC-2 type transport system	KEGG-Module-M00254: ABC-2 type transport system	0.467052531211823	38.5	0.467052531211823	0.28222111877612105	67.0	0.27786635796564474	0.10571880481619403	25	1.7895224371397611
KEGG-Module-M00328: Hemophore/metalloprotease transport system	KEGG-Module-M00328: Hemophore/metalloprotease transport system	0.470765352697875	36.5	0.470765352697875	0.6835637242747329	17.0	0.6279555325818563	0.22338762232739748	25	-0.70366557576589
KEGG-Pathway-pae00380: Tryptophan metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00380: Tryptophan metabolism - Pseudomonas aeruginosa PAO1	0.470765352697875	36.5	0.470765352697875	0.632787654356359	24.5	0.5901814201552757	0.21161552582474136	25	-0.5643067397441357
KEGG-Pathway-pae01212: Fatty acid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae01212: Fatty acid metabolism - Pseudomonas aeruginosa PAO1	0.470836274648219	35.0	0.470836274648219	0.554914037026676	37.0	0.5737961727877442	0.14492176647248997	25	-0.710451581192048
KEGG-Pathway-pae00071: Fatty acid degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00071: Fatty acid degradation - Pseudomonas aeruginosa PAO1	0.49344336333671396	34.0	0.49344336333671396	0.669756267733792	20.0	0.6627564187552352	0.11628049252858773	25	-1.4560744604422393
KEGG-Module-M00190: Iron(III) transport system	KEGG-Module-M00190: Iron(III) transport system	0.49639300227043703	33.0	0.49639300227043703	0.4761107434546071	46.0	0.46796629250535865	0.12142073447161063	25	0.2341174255680757
KEGG-Module-M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	KEGG-Module-M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	0.588059510067975	32.0	0.588059510067975	0.545344338884174	38.0	0.5317820140757471	0.09876302735161867	25	0.5698235210213562
KEGG-Module-M00235: Arginine/ornithine transport system	KEGG-Module-M00235: Arginine/ornithine transport system	0.5995825004631851	30.0	0.5995825004631851	0.619456547607133	27.0	0.6126137869255704	0.13214182392493035	25	-0.09861591186896622
KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1	0.5995825004631851	30.0	0.5995825004631851	0.230711293131855	74.0	0.4193184660258587	0.3553878214409409	25	0.5072318846111136
KEGG-Module-M00334: Type VI secretion system	KEGG-Module-M00334: Type VI secretion system	0.5995825004631851	30.0	0.5995825004631851	0.4493125	48.0	0.48174288688635913	0.2429340512945413	25	0.48506832594642435
KEGG-Pathway-pae00790: Folate biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00790: Folate biosynthesis - Pseudomonas aeruginosa PAO1	0.611539368222537	27.0	0.611539368222537	0.6122582029444771	30.0	0.588596551086331	0.20708095094205667	25	0.1107915384386349
KEGG-Module-M00223: Phosphonate transport system	KEGG-Module-M00223: Phosphonate transport system	0.611539368222537	27.0	0.611539368222537	0.712107234708711	14.0	0.719784948116279	0.1266908628977136	25	-0.8544071562693222
KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	0.611539368222537	27.0	0.611539368222537	0.754544284706888	10.0	0.739193607200058	0.16155794662639802	25	-0.7901452181285817
KEGG-Module-M00238: D-Methionine transport system	KEGG-Module-M00238: D-Methionine transport system	0.626463264424692	25.0	0.626463264424692	0.7633603361968531	8.0	0.7785885707967596	0.1477531142805556	25	-1.0295912009218973
KEGG-Pathway-pae00360: Phenylalanine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00360: Phenylalanine metabolism - Pseudomonas aeruginosa PAO1	0.628023899737686	24.0	0.628023899737686	0.7400468791412671	12.0	0.7107897727732283	0.13516901021991248	25	-0.6123139682748789
KEGG-Pathway-pae00780: Biotin metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00780: Biotin metabolism - Pseudomonas aeruginosa PAO1	0.630550193050193	22.5	0.630550193050193	0.5913688588879251	32.0	0.5888235390455552	0.12456289532298864	25	0.334984618785888
KEGG-Module-M00208: Glycine betaine/proline transport system	KEGG-Module-M00208: Glycine betaine/proline transport system	0.630550193050193	22.5	0.630550193050193	0.639631172525909	23.0	0.6104312160510542	0.16157941022509797	25	0.1245144846803861
KEGG-Pathway-pae00564: Glycerophospholipid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00564: Glycerophospholipid metabolism - Pseudomonas aeruginosa PAO1	0.635630269419251	21.0	0.635630269419251	0.7923093572481609	5.0	0.7610349465321476	0.20124338374233935	25	-0.6231493169159671
KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	0.670165536773742	19.0	0.670165536773742	0.5589734228971961	36.0	0.5545756471642044	0.17195582180314312	25	0.672206898245447
KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1	0.670165536773742	19.0	0.670165536773742	0.24624116230824203	71.0	0.349341130956075	0.27815904588778434	25	1.1533847651573226
KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	0.670165536773742	19.0	0.670165536773742	0.454798207005001	47.0	0.5005277287988699	0.19123403689668786	25	0.8870691155597848
KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	0.6827460348870671	17.0	0.6827460348870671	0.366639126187358	54.0	0.46016050636761635	0.23473694482267912	25	0.9482338993872158
KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	0.6842998955067919	16.0	0.6842998955067919	0.7494990265275692	11.0	0.690616107327317	0.23838236843047378	25	-0.026496136698831753
KEGG-Module-M00236: Putative polar amino acid transport system	KEGG-Module-M00236: Putative polar amino acid transport system	0.696332100384621	15.0	0.696332100384621	0.323832398338802	61.0	0.3532708375528111	0.2233156870384219	25	1.5362165881915208
KEGG-Pathway-pae01040: Biosynthesis of unsaturated fatty acids - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae01040: Biosynthesis of unsaturated fatty acids - Pseudomonas aeruginosa PAO1	0.7535043453882809	14.0	0.7535043453882809	0.5607523869167299	35.0	0.5586831739373981	0.1444948284409708	25	1.348291655507044
KEGG-Pathway-pae03070: Bacterial secretion system - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03070: Bacterial secretion system - Pseudomonas aeruginosa PAO1	0.7663230567272191	13.0	0.7663230567272191	0.7612670366394431	9.0	0.7161641810929705	0.19695987898845893	25	0.254665447053751
KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	0.8011141325348629	12.0	0.8011141325348629	0.896882024305847	2.0	0.8437199731621209	0.1570928698805671	25	-0.27121435020984686
KEGG-Module-M00237: Branched-chain amino acid transport system	KEGG-Module-M00237: Branched-chain amino acid transport system	0.80187473025464	10.5	0.80187473025464	0.476859631434493	45.0	0.5329919539048624	0.2934777244030646	25	0.9161948386259525
KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism - Pseudomonas aeruginosa PAO1	0.80187473025464	10.5	0.80187473025464	0.538720665654646	40.0	0.5395963789074867	0.22945704399814953	25	1.1430390053716042
KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	0.827413456013357	7.5	0.827413456013357	0.33936155721076006	58.0	0.4413902236873031	0.29142268619817807	25	1.324616272542159
KEGG-Module-M00242: Zinc transport system	KEGG-Module-M00242: Zinc transport system	0.827413456013357	7.5	0.827413456013357	0.7071772305557971	15.0	0.711499097173009	0.14499710282885708	25	0.7994253442233535
KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	0.827413456013357	7.5	0.827413456013357	0.787745081401532	6.0	0.7507878152896094	0.1593763379227623	25	0.48078429786034077
KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	0.827413456013357	7.5	0.827413456013357	0.672563595444316	19.0	0.6542813764001473	0.1506543217862258	25	1.1492008829250797
KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	0.8306790752907459	5.0	0.8306790752907459	0.7674140780994371	7.0	0.7308601971026654	0.17935439170673836	25	0.5565454920741165
KEGG-Pathway-pae00410: beta-Alanine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00410: beta-Alanine metabolism - Pseudomonas aeruginosa PAO1	0.872897074583593	3.5	0.872897074583593	0.7337399372356391	13.0	0.7321998873051612	0.1001691322099438	25	1.4045962481091037
KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	0.872897074583593	3.5	0.872897074583593	0.881834734540527	3.0	0.8699527583810756	0.09518129871286655	25	0.030933767896985404
KEGG-Pathway-pae00903: Limonene and pinene degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00903: Limonene and pinene degradation - Pseudomonas aeruginosa PAO1	0.8969953220582941	2.0	0.8969953220582941	0.9089821866365371	1.0	0.8784647954731171	0.10174452315294472	25	0.18212800071136556
KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	0.9234575537343441	1.0	0.9234575537343441	0.698589916940313	16.0	0.7150490691978232	0.21937139975623055	25	0.9500257771437307
