Gemma ID,External ID,Study Description,Number of Samples,Study Category,Condition Description,Control Description,Number of DE genes,Funding Source,DE Prior AUROC (Fig 2),CXCL8 DE,Sex (Fig 3),Immunity (Fig 3),Funding Prior AUROC (Fig 4),"DE Prior AUROC (222 subset, Fig 4)",Cluster Prior AUROC (Fig 4),NIGMS sepsis or trauma (Fig 4),Max GO term (Fig 4),Max GO AUROC (Fig 4)
RSCID.456585.19117,GSE14479,Genome-wide gene expression in CEBPA mutant and CEBPA silenced AML and in T-ALL,17,disease,Silenced AML,ALL,184,NIGMS NIH HHS,0.853,no,no,no,0.671,0.822,0.599,no,GO:0001775,0.549
RSCID.456449.17557,GSE14519,Expression data from multiple myeloma cells treated with arsenic,20,treatment,arsenic trioxide; arsenic oxides,reference subject role,46,NCI NIH HHS,0.737,no,no,no,0.735,0.743,NA,no,GO:0000785,0.575
RSCID.453347.99648,GSE14580,Mucosal gene signatures to predict response to infliximab in patients with ulcerative colitis,30,disease,ulcerative colitis,reference subject role,982,NA,0.841,yes,no,no,NA,NA,0.696,no,GO:0006955,0.557
RSCID.449147.75709,GSE14615,Microarray analyses of induction failure in T-ALL (COG study 9404),36,clinical history,complete continous remission,no response; induction failure,49,NCI NIH HHS,0.852,no,no,no,0.813,0.854,0.744,no,GO:0022402,0.617
RSCID.459521.77435,GSE14668,B-Cell Gene Signature with Massive Intrahepatic Production of Antibodies to Hepatitis B Core Antigen in HBV-Associated Acute Liver Failure,20,organism part,angioma; liver,reference subject role; liver,55,Intramural NIH HHS,0.836,no,no,no,0.573,0.776,0.613,no,GO:0006082,0.621
RSCID.456574.19262,GSE14680,Expression data from multiple myeloma cells overexpressing CS1 versus CS1 knockdown,10,cell line,OPM2,U266,459,NA,0.801,no,no,no,NA,NA,0.791,no,GO:0043067,0.532
RSCID.445615.19787,GSE14711,Parkinsonâ€™s disease patient-derived induced pluripotent stem cells free of viral reprogramming factors,5,cell type,factor free; induced; pluripotent stem cell,fibroblast; reference subject role,3866,NCI NIH HHS,0.734,no,no,no,0.706,0.716,0.779,no,GO:0051240,0.518
RSCID.442055.75719,GSE14834.1,Characterization of B- and T-lineage ALL by Integrated Analysis of microRNA and mRNA Expression Profiles - GPL570,12,genetic modification,BCR/ABL,normal,4,NA,0.447,no,no,no,NA,NA,0.467,no,GO:0021987,0.624
RSCID.456636.19143,GSE14844,Reliability and stability of individual differences in gene expression,19,timepoint,10 months,Day 1,12,NA,0.729,no,no,no,NA,NA,0.588,no,GO:0051249,0.643
RSCID.448597.35108,GSE14858,Gene exprssion profile classification predicts clinical outcome in juvenile myelomonocytic leukemia,40,disease,dislike; acute myeloid leukemia,like; acute myeloid leukemia,3,NA,0.938,no,no,no,NA,NA,0.746,no,GO:0031463,0.665
RSCID.459525.74370,GSE14879,"Gene expression study of anaplastic large cell lymphomas: cellular origin, pathogenesis and relation to Hodgkin lymphoma",11,cell type,cALCL,tcr-cHL,131,NA,0.863,no,no,no,NA,NA,NA,no,GO:0006955,0.572
RSCID.459166.65062,GSE14880,Differentation in neuroblastomas,34,disease,Neuroblastoma,Ganglioneuroblastoma,6,NA,0.723,no,no,no,NA,NA,0.499,no,GO:0043604,0.655
RSCID.460473.18720,GSE14901,Limb immobilization induces a coordinate down-regulation of mitochondrial and other metabolic pathways in men and women,72,sex,female,male,14,NA,0.842,no,no,no,NA,NA,0.928,no,GO:0016577,0.583
RSCID.456621.19175,GSE14905,Type I Interferon: Potential Therapeutic Target for Psoriasis?,54,disease,Lesion Skin,Normal Skin,168,NA,0.914,yes,no,no,NA,NA,0.791,no,GO:0006952,0.561
RSCID.456809.19954,GSE14924,Characterisation of gene expression changes in T cells from patients presenting with AML compared with healthy T cells,41,cell type,cytotoxic T cell,helper T cell,53,NCI NIH HHS,0.909,no,no,no,0.886,0.921,0.669,no,GO:0006955,0.651
RSCID.459035.34711,GSE14926,Analysis of the impact of the method of cell selection on the gene expression profile of human CD4 and CD8 T cells,19,treatment,negative,positive,32,NA,0.941,yes,no,no,NA,NA,0.548,no,GO:0006955,0.69
RSCID.449018.74109,GSE14973,Antileukemic activity of valproic acid in chronic lymphocytic leukemia cells defined by microarray analysis,28,treatment,valproic acid,reference subject role,20,NA,0.738,no,no,no,NA,NA,0.568,no,GO:0033043,0.575
RSCID.463702.119185,GSE14986,Antiestrogen-resistant subclones of MCF-7 human breast cancer cells are derived from a common clonal drug-resistant progenitor,30,treatment,fulvestrant,reference substance role,166,NCI NIH HHS,0.791,no,no,no,0.752,0.772,0.764,no,GO:0022402,0.629
RSCID.459524.73598,GSE15013,Expression of HOXB genes is significantly different in acute myeloid leukemia with a partial tandem duplication of MLL vs. a MLL translocation: a cross-laboratory study,25,genetic modification,MLL translocation; acute myeloid leukemia,MLL partial tandem duplication; acute myeloid leukemia,55,NA,0.882,no,no,no,NA,NA,0.59,no,GO:0044877,0.559
RSCID.458758.19280,GSE15132,Riboflavin depletion impairs cell proliferation in intestinal cells: Identification of mechanisms and consequences,18,treatment,Riboflavin Deficiency,reference subject role,40,NA,0.883,no,no,no,NA,NA,NA,no,GO:0022603,0.618
RSCID.457883.86354,GSE15148,Human induced pluripotent stem cells free of exogenous DNA are derived with episomal vectors,26,cell type,embryonic stem cell,induced; pluripotent stem cell,39,NIGMS NIH HHS,0.829,no,no,no,0.642,0.775,0.533,no,GO:0051094,0.57
RSCID.441812.40037,GSE15209,Expression data from human foetal neural stem (NS) cell lines and human glioma neural stem (GNS) cell lines,9,cell type,Glioblastoma,oligoastrocytoma,51,NA,0.894,no,no,no,NA,NA,0.7,no,GO:0043067,0.584
RSCID.457881.86315,GSE15396,"Peripheral blood mononuclear, DU145, and HCT116 cells treated with a CDK inhibitor",111,cell type,HCT116 tumor cell,mononuclear cell,2337,NA,0.793,yes,no,no,NA,NA,0.77,no,GO:0006955,0.539
RSCID.448625.76593,GSE15434,Gene expression profiling in AML with normal karyotype: A multicenter study investigating molecular markers in 251 cases,251,sex,female,male,8,NA,0.999,no,yes,no,NA,NA,1,no,GO:0060765,0.583
RSCID.457566.71759,GSE15455,GEMINI (Gastric Encyclopedia of Molecular Interactions and Nodes for Intervention) Phases A-C,6,cell line,MKN74,AGS,773,NA,0.808,no,no,no,NA,NA,0.816,no,GO:0009888,0.535
RSCID.456663.76004,GSE15471,Whole-Tissue Gene Expression Study of Pancreatic Ductal Adenocarcinoma,78,disease,Pancreatic Ductal Adenocarcinoma,reference subject role,216,NA,0.914,yes,no,no,NA,NA,0.806,no,GO:0030198,0.585
RSCID.459526.74360,GSE15490,Sequential gene expression profiling in CLL during treatment,20,treatment,after fludarabine+cyclophosphamide,before rituximab,32,NA,0.903,no,no,no,NA,NA,0.647,no,GO:0006928,0.6
RSCID.459971.111644,GSE15605,Transcriptome profiling identifies HMGA2 as a novel gene in melanoma progression,62,disease,Primary Melanoma,skin of body,743,NCI NIH HHS,0.764,yes,no,no,0.768,0.771,0.788,no,GO:0009888,0.535
RSCID.458531.81916,GSE15636,"L. acidophilus NCFMâ„¢, B. lactis 420, L. salivarius Ls-33  and E. coli O157:H7 effect on intestinal epithelial cells",20,treatment,24 hours; Cell-free supernatant,Coculture; 8 hours,20,NA,0.829,no,no,no,NA,NA,0.493,no,GO:1901700,0.603
RSCID.457345.74192,GSE15824,Gene expression profiling of human gliomas and human glioblastoma cell lines,37,cell line,LN018,N/A,4359,NA,0.699,yes,no,no,NA,NA,0.681,no,GO:0007049,0.522
RSCID.457066.80958,GSE15935,Expression data from 'naÃ¯ve' and HVC-replicon containing Huh7 cells (Clone A cells),82,cell line,Huh7,Clone A,40,NA,0.838,no,no,no,NA,NA,0.524,no,GO:0010562,0.564
RSCID.434730.40204,GSE15947,"Time course of 1,25(OH)2D treated RWPE1 cells.",24,treatment,vehicle,"1,25-dihydroxyvitamin D3",26,NCI NIH HHS,0.817,no,no,no,0.858,0.822,0.52,no,GO:0009888,0.597
RSCID.461414.81924,GSE16015,AML with mutated NPM1 carrying a normal or aberrant karyotype show overlapping features,97,genotype,"2-positive mutation; NPM1 [human] nucleophosmin (nucleolar phosphoprotein B23, numatrin)",wild type genotype,22,NA,0.928,no,no,no,NA,NA,NA,no,GO:0042592,0.639
RSCID.450880.75757,GSE16020,Patients affected with autosomal dominant monocytopenia with increased susceptibility to mycobacterial infection,20,disease,polymorphonuclear leukocytes,reference subject role,104,Intramural NIH HHS,0.742,no,no,no,0.582,0.738,NA,no,GO:0051240,0.555
RSCID.446743.19975,GSE16054,Transient expression of misfolded surfactant protein C,6,genetic modification,Exon4 deletion; SFTPC [human] surfactant protein C,wild type genotype,4,NA,0.786,no,no,no,NA,NA,0.614,no,GO:0031904,0.624
RSCID.459505.76612,GSE16134,Bacterial Correlates of Gingival Gene Expression,310,treatment,gingival disease,reference subject role,11,NA,0.937,no,no,no,NA,NA,0.917,no,GO:0050864,0.623
RSCID.455526.75948,GSE16157,Mitochondria regulate the unfolded protein response leading to cancer cell survival under glucose deprivation conditions,38,phenotype,supernatant: no,supernatant: yes,15,NA,0.648,no,no,no,NA,NA,0.512,no,GO:0071363,0.616
RSCID.459005.19948,GSE16176,Expression profiles of amniotic fluid from human fetuses with Down syndrome and euploid controls,14,genotype,euploid (control group),Down syndrome,146,NICHD NIH HHS,0.61,no,no,no,0.542,0.61,0.512,no,GO:0030054,0.588
RSCID.459359.40029,GSE16191,EGR4 is a master gene responsible for fertility in cryptorchidism,18,clinical history,unilateral,reference subject role,4,NA,0.728,no,no,no,NA,NA,0.487,no,GO:0001533,0.624
RSCID.457048.64905,GSE16193,Interfering with Proximal TLR4 to NF-kappaB Signal Transduction in Human Monocytes,10,treatment,carbon monoxide; Lipopolysaccharide,reference subject role,20,Intramural NIH HHS,0.977,yes,no,no,0.84,0.932,0.942,no,GO:0043207,0.699
RSCID.459970.112467,GSE16214,Expression data from relapsing-remitting MS samples,176,treatment,interferon beta,reference substance role,2,NIAID NIH HHS,0.998,no,no,no,0.98,0.995,1,no,GO:0046825,0.749
RSCID.458976.20012,GSE16236,Transcriptional profiling of bone marrow cells of MDS patients,7,cell type,Lymphoid cell,Lymphoid cell; reference subject role,378,NA,0.674,yes,no,no,NA,NA,NA,no,GO:0061024,0.52
RSCID.458523.81873,GSE16237,Expression data of human neuroblastoma tissue samples,51,disease staging,Deceased; died of disease,alive,6,NA,0.833,no,no,no,NA,NA,0.622,no,GO:0006952,0.813
RSCID.456975.77453,GSE16363,"Microarray Analysis of Lymphatic Tissue Reveals Stage-Specific, Gene-Expression Signatures in HIV-1 Infection",28,disease staging,asymptomatic AIDS,uninfected; reference subject role,29,NIAID NIH HHS,0.957,no,no,no,0.82,0.954,0.687,no,GO:0006955,0.634
RSCID.457045.64911,GSE16395,Cell-Specific Gene Expression in Langerhans Cell Histiocytosis,25,organism part,CD207+; Langerhans cell histiocytosis lesion,CD207+; skin,583,NCI NIH HHS,0.831,no,no,no,0.83,0.833,0.841,no,GO:0009888,0.559
RSCID.460482.17938,GSE1643,Normal Variance of Gene Expression in the Human Lung,40,organism part,upper lobe of lung,lower lobe of lung,3,NHLBI NIH HHS,0.905,no,no,no,0.732,0.845,0.652,no,GO:0071495,0.812
RSCID.459016.19931,GSE16450,Human BE(2)-C neuronal responses to type I IFN stimulation,18,cell type,immature,all-trans-retinoic acid; mature,152,NA,0.875,no,no,no,NA,NA,0.891,no,GO:0009888,0.568
RSCID.447533.20188,GSE16451,Human BE(2)-C neuronal responses to WEEV infection,8,cell type,mature,all-trans-retinoic acid; immature,305,NA,0.809,no,no,no,NA,NA,0.689,no,GO:0045595,0.549
RSCID.457308.74395,GSE16455,Indolent MCL identified by genomic and gene expression profiling,24,disease,chronic lymphocytic leukemia,follicular lymphoma,198,NA,0.8,no,no,no,NA,NA,0.833,no,GO:1901700,0.531
RSCID.458004.86550,GSE16461,Gene expression profile in CD4+ and CD8+ T cells from identical twins discordant for Multiple sclerosis,16,cell type,CD8+ T cell,CD4+ T cell,149,NA,0.911,yes,no,no,NA,NA,0.954,no,GO:0006955,0.682
RSCID.465253.122032,GSE16478,Integrated bioinformatic and wet-lab approach to identify potential oncogenic networks in neuroblastoma: MYCN,28,genotype,"Overexpression; MYCN [human] v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",wild type genotype,9559,NCI NIH HHS,0.568,yes,no,no,0.56,0.564,0.5,no,GO:0007049,0.521
RSCID.458965.19988,GSE16515,Expression data from Mayo Clinic Pancreatic Tumor and Normal samples,52,cell type,Normal Tissue,Tumour Tissue,205,NIGMS NIH HHS,0.865,yes,no,no,0.631,0.811,0.843,no,GO:0009888,0.544
RSCID.456670.74523,GSE16524,Expression data from skin fibroblasts derived from Setleis Syndrome patients and normal controls,8,disease,Setleis Syndrome,reference subject role,1,NA,0.918,no,no,no,NA,NA,0.496,no,GO:0005201,0.998
RSCID.446157.19850,GSE16538,Genome-wide gene expression profile analysis in pulmonary sarcoidosis,12,disease,"Sarcoidosis, Pulmonary",reference subject role,11,NHLBI NIH HHS,0.919,no,no,no,0.805,0.908,0.636,no,GO:0006955,0.753
RSCID.459601.71706,GSE16581,Genomic landscape of meningiomas: gene expression,68,sex,male,female,8,NINDS NIH HHS,0.999,no,yes,no,0.768,0.997,1,no,GO:0051704,0.647
RSCID.457872.86439,GSE16648,Networking of differentially expressed genes in human cancer cell lines resistant to methotrexate,42,phenotype,methotrexate; sensitive toward,methotrexate; resistant to,152,NA,0.816,no,no,no,NA,NA,0.685,no,GO:0042995,0.537
RSCID.450078.67504,GSE16715,Expression profiling in Williams-Beuren Syndrome patient fibroblast cell lines,17,disease,Williams syndrome,reference subject role,29,NA,0.94,no,no,no,NA,NA,0.665,no,GO:0031012,0.669
RSCID.458864.65057,GSE16728,Characterization of whole blood gene expression profiles in sickle-cell disease patients using globin mRNA reduction,30,disease,Sickle Cell Anemia,reference subject role,228,NA,0.648,yes,no,no,NA,NA,0.499,no,GO:0070647,0.525
RSCID.446894.19882,GSE16755,Gene expression in macrophages treated with IFNalpha,6,treatment,IFNa Treated,reference subject role,109,Intramural NIH HHS,0.865,no,no,no,0.857,0.846,0.914,no,GO:0034097,0.611
RSCID.448911.75984,GSE16797,Clinical score and gene profiling patterns identify Kawasaki disease patients who may benefit from methylprednisolone,34,medical procedure,Post-treatment,pre-treatment,1,NA,0.795,no,no,no,NA,NA,0.467,no,GO:0042571,0.5
RSCID.449891.67595,GSE16837,Gene expression data from S. aureus-exposed neutrophils,36,treatment,11490; Staphylococcus aureus,reference subject role,291,Intramural NIH HHS,0.695,no,no,no,0.584,0.68,0.547,no,GO:0045944,0.532
RSCID.459003.19896,GSE16844,Integrated pathways for neutrophil recruitment and inflammation in leprosy,13,disease,erythema nodosum leprosum,"Leprosy, Lepromatous; reference subject role",87,NIAID NIH HHS,0.907,no,no,no,0.683,0.895,NA,no,GO:0006952,0.566
RSCID.457174.78522,GSE16870,HeLa cells treated with V-ATPase inhibitors or with desoxyferramine compared to HeLa in DMSO or medium with low LDL,24,treatment,bafilomycin,reference subject role,23,NCRR NIH HHS,0.849,no,no,no,0.55,0.774,0.595,no,GO:0044711,0.678
RSCID.449293.76034,GSE17032,Expression data from human fibroblasts,36,organism part,lung,skin of body,406,NCI NIH HHS,0.85,no,no,no,0.82,0.832,0.882,no,GO:0051240,0.546
RSCID.457316.76763,GSE17183,Hepatic gene expression before and during interferon and ribavirin combination therapy,108,treatment,ribavirin; interferon,baseline participant role,1,NA,0.641,no,no,no,NA,NA,0.958,no,GO:0042571,0.5
RSCID.452201.71799,GSE17372,Molecular Classification of AIDS-Related Lymphomas (HIV+ and HIV- cases),124,disease,GCB; HIV-lymphoma,HIV+ lymphoma,18552,NCI NIH HHS,0.551,yes,no,no,0.575,0.561,0.656,no,GO:0030054,0.524
RSCID.459113.20236,GSE17385,Gene expression profiling from MM1.S cells with control or beta-catenin knockdown.,6,genetic modification,"knock-down; CTNNB1 [human] catenin (cadherin-associated protein), beta 1, 88kDa",reference subject role,109,NA,0.884,no,no,no,NA,NA,0.595,no,GO:0007049,0.663
RSCID.434828.73933,GSE17400,Dynamic Innate Immune Responses of Human Bronchial Epithelial Cells against SARS-CoV and DOHV infection,18,timepoint,24 hrs post-infection,12 hrs post-infection,2,NIAID NIH HHS,0.96,no,no,no,0.922,0.978,0.75,no,GO:1903047,0.982
RSCID.459294.93997,GSE17548,Expression data from cirrhosis and HCC tissue samples,30,organism part,hepatocellular carcinoma,cirrhotic liver tissue,43,NA,0.894,no,no,no,NA,NA,0.862,no,GO:0007155,0.562
RSCID.446534.20142,GSE17624,Expression data from human Ishikawa cells treated with Bisphenol A,40,timepoint,48 hours,8 H,91,NA,0.602,no,no,no,NA,NA,0.522,no,GO:0051050,0.527
RSCID.457144.39847,GSE17708,Time Course of TGF-beta treatment of A549 lung adenocarcinoma cell line,26,genetic modification,TGF-beta Receptor Type II Tumor-Suppressor Gene Inactivation,reference substance role,600,NCI NIH HHS,0.844,no,no,no,0.808,0.818,0.86,no,GO:0040012,0.548
RSCID.459452.40010,GSE17714,11 Neuroblastoma cell lines under normoxic and hypoxic conditions,22,disease,normoxia,hypoxia,3,NA,0.949,no,no,no,NA,NA,NA,no,GO:0097193,0.83
RSCID.459092.20192,GSE17743,Gene expression profiles differentiating gastrointestinal stromal tumours according to KIT mutations and expression,18,genotype,mutant; KIT [human] v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,wild type genotype,57,NA,0.857,no,no,no,NA,NA,0.767,no,GO:0051240,0.565
RSCID.460153.116891,GSE17800,Myocardial gene expression profiles and cardiodepressant autoantibodies predict response of patients with dilated cardiomyopathy to immunoadsorption therapy,48,sex,male,female,8,NA,0.974,no,yes,no,NA,NA,0.9,no,GO:0060765,0.583
RSCID.457695.82469,GSE17906,Gene expression down-regulation in prostate tumor-associated stromal cells involves organ-specific genes,10,disease,CD26+; prostate cancer,prostate cancer; normal,1712,NIGMS NIH HHS,0.77,yes,no,no,0.602,0.758,0.738,no,GO:0043067,0.521
RSCID.459543.67847,GSE17913,Effects of Cigarette Smoke on the Human Oral Mucosal Transcriptome,79,molecular entity,Nicotine,reference subject role,1,NCI NIH HHS,0.999,no,no,no,0.995,0.998,1,no,GO:0046466,0.999
RSCID.466645.123574,GSE17951,Gene expression analysis of prostate cancer samples using Affymetrix U133Plus2 array,154,disease,prostate cancer,reference subject role,228,NCI NIH HHS,0.79,no,no,no,0.737,0.785,0.518,no,GO:0034220,0.536
RSCID.459390.64897,GSE18018,Multilineage dysplasia and AML with mutated nucleophosmin,48,disease,multilineage dysplasia,reference subject role,2,NA,0.986,no,no,no,NA,NA,1,no,GO:0030141,0.994
RSCID.459545.77486,GSE18090,Gene Expression Profiling During Early Acute Febrile Stage of Dengue Infection Can Predict The Disease Outcome,18,disease,dengue hemorrhagic fever,reference subject role,7,NIAID NIH HHS,0.996,no,no,no,0.949,0.994,0.889,no,GO:0003682,0.792
RSCID.458551.82573,GSE18096,Identifying the molecular signature of the t(12;14) subgroup of uterine leiomyomata using a paired analysis,18,disease,Non-t(12;14); uterine fibroid,normal; myometrium,74,NICHD NIH HHS,0.906,no,no,no,0.924,0.9,NA,no,GO:0007267,0.55
RSCID.432574.76065,GSE18105,Stage II and stage III colorectal cancer,111,treatment,homogenized tissue,Laser Capture Microdissection (LCM),50,NA,0.757,no,no,no,NA,NA,0.516,no,GO:0006955,0.553
RSCID.441361.89123,GSE18123.1,Blood gene expression signatures distinguish autism spectrum disorders from controls - GPL570,64,disease,autism,reference subject role,22,NA,0.678,no,no,no,NA,NA,0.538,no,GO:0006955,0.612
RSCID.457381.87218,GSE18206,Analysis of human in vivo irritated epidermis: differential profiles induced by sodium lauryl sulphate and nonanoic acid,24,timepoint,0 hours,11 days,3,NA,0.9,no,no,no,NA,NA,0.749,no,GO:0001533,0.833
RSCID.459218.88550,GSE18271,Analysis of TALE homeobox genes in neuroblastic tumors: ganglioneuroblastoma and ganglioneuroma,22,disease,Ganglioneuroma,Ganglioneuroblastoma,288,NA,0.832,no,no,no,NA,NA,0.742,no,GO:0007267,0.543
RSCID.457459.71573,GSE18373,Expression data of HUVEC and OVCA429 with recombinant MAGP2,12,cell type,OVCA429,endothelial cell of umbilical vein,1392,NCI NIH HHS,0.815,no,no,no,0.795,0.801,0.831,no,GO:0051270,0.53
RSCID.457457.71569,GSE18520,Whole-genome oligonucleotide expression analysis of papillary serous ovarian adenocarcinomas,63,disease,papillary serous ovarian adenocarcinoma,reference subject role,584,NCI NIH HHS,0.893,no,no,no,0.875,0.866,0.917,no,GO:0009888,0.531
RSCID.457448.71652,GSE18552,CDK inhibitors and flavopiridol profiling on A2780 and MCF7 cells,35,cell type,Adenocarcinoma; female gonad,Adenocarcinoma; mammary gland,1841,NA,0.787,no,no,no,NA,NA,0.823,no,GO:0009888,0.527
RSCID.459546.77481,GSE18608,Transcriptional Profiling of CD133+ Cells in Coronary Artery Disease and Effects of Exercise on Gene Expression,14,disease,before exercise; Coronary heart disease,reference subject role,10,Intramural NIH HHS,0.754,no,no,no,0.497,0.738,0.601,no,GO:0031294,0.598
RSCID.437543.76074,GSE18668,Differentiation of NUT midline carcinoma by epigenomic reprogramming,20,cell line,NMC cell line TC-797,NMC cell line PER-403,1705,NCI NIH HHS,0.711,no,no,no,0.703,0.705,0.735,no,GO:0051240,0.518
RSCID.459969.99867,GSE18670,Pancreatic cancer circulating tumor cells express a cell motility gene signature that predicts survival after surgery,12,cell type,original tumor,circulating tumor cells,3473,NA,0.742,no,no,no,NA,NA,0.718,no,GO:0051270,0.516
RSCID.459535.71372,GSE18781,Gene Expression in Inflammatory Diseases,43,disease,Spondylarthropathies,reference subject role,4,NA,1,no,yes,no,NA,NA,1,no,GO:0060765,0.666
RSCID.441086.77499,GSE18791,Antiviral response dictated by choreographed cascade of transcription factors,57,disease,Newcastle disease,reference subject role,183,NA,0.86,no,no,no,NA,NA,0.934,no,GO:0006952,0.663
RSCID.457029.40032,GSE18811,Transcriptome Analysis and Molecular Signature of Human Retinal Pigment Epithelium,31,developmental stage,late embryo,Adult,152,Intramural NIH HHS,0.879,no,no,no,0.568,0.85,0.889,no,GO:0030198,0.554
RSCID.459302.73619,GSE18842,Gene expression analysis of human lung cancer and control samples,91,disease,non-small cell lung carcinoma,reference subject role,698,NA,0.895,no,no,no,NA,NA,0.837,no,GO:0009888,0.544
RSCID.457361.71355,GSE18864,Tumor expression data from neoadjuvant trial of cisplatin monotherapy in triple negative breast cancer patients,84,cell type,reference tumor,pre-treatment tumor,25,NCI NIH HHS,0.962,yes,no,no,0.931,0.917,NA,no,GO:0031012,0.751
RSCID.459539.71189,GSE18913,siRNA-mediated Egr-3 knockdown in VEGF-treated HUVEC,21,treatment,siRNA; EGR3 [human] early growth response 3,reference subject role,7,NHLBI NIH HHS,0.852,no,no,no,0.659,0.841,0.497,no,GO:0034097,0.698
RSCID.449023.40050,GSE18995,Expression data from donor lungs of cardiac death and brain death donors,35,timepoint,post-transplant,pre-transplant,150,NA,0.814,yes,no,no,NA,NA,0.599,no,GO:0006952,0.592
RSCID.457155.77604,GSE19067,Molecular signatures in natural-killer (NK) cell lymphoma,20,cell type,NK/T lymphoma,Blastic NK-cell lymphoma,280,NCI NIH HHS,0.724,no,no,no,0.702,0.714,NA,no,GO:0022008,0.528
RSCID.457234.77189,GSE19069,Molecular signatures in peripheral T-cell lymphoma (PTCL),139,timepoint,n/a,0h; resting,84,NCI NIH HHS,0.768,no,no,no,0.662,0.736,0.5,no,GO:0006955,0.541
RSCID.459490.69619,GSE19188,Expression data for early stage NSCLC,110,disease,Squamous cell carcinoma,reference subject role,256,NA,0.918,no,no,no,NA,NA,0.983,no,GO:0006928,0.553
RSCID.463677.117864,GSE19234,Immune profile and mitotic index of metastatic melanoma lesions enhance clinical staging in predicting patient survival.,44,sex,male,female,4,NCI NIH HHS,1,no,yes,no,0.999,0.999,1,no,GO:0060765,0.666
RSCID.456952.76137,GSE19293,In-transit extremity melanoma II,40,phenotype,response: CR,response: PD,6,NA,0.873,no,no,no,NA,NA,0.651,no,GO:0030234,0.645
RSCID.448403.34937,GSE19332,Mutations in CHMP2B in lower motor neuron predominant amyotrophic lateral sclerosis (ALS),10,genotype,mutant; CHMP2B [human] chromatin modifying protein 2B,wild type,4,NA,0.505,no,no,no,NA,NA,0.74,no,GO:0010907,0.624
RSCID.459481.68897,GSE19352,Activation of phosphatidylcholine-cycle enzymes in human epithelial ovarian cancer cells,21,cell type,ovarian carcinoma,IGROV1,988,NCI NIH HHS,0.76,no,no,no,0.739,0.744,0.78,no,GO:0045595,0.524
RSCID.457237.69631,GSE19383,Altered gene expression in normal breast and ovarian epithelial cells from BRCA1 and BRCA2 mutation carriers,36,organism part,epithelial cell; breast,epithelial cell; female gonad,1234,NCI NIH HHS,0.829,no,no,no,0.833,0.823,0.87,no,GO:0009888,0.542
RSCID.459968.102689,GSE19404,Gene expression analysis of primitive neuroectodermal tumors,14,disease,primitive neuroectodermal tumor,reference subject role,144,NA,0.638,no,no,no,NA,NA,0.515,no,GO:0006396,0.545
RSCID.459480.70430,GSE19407,Smoking-induced Wnt pathway downregulation,24,phenotype,Non smoking,Smoking,28,NHLBI NIH HHS,0.881,no,no,no,0.919,0.876,0.738,no,GO:0016491,0.618
RSCID.455188.111105,GSE19429,Expression data from bone marrow CD34+ cells of MDS patients and healthy controls,200,disease,CD34+ cells; Myelodysplastic syndrome,CD34+ cells; reference subject role,21,NA,0.918,no,no,no,NA,NA,0.522,no,GO:0006955,0.705
RSCID.427193.69941,GSE19475,Gene expression data from infants (<1 year of age) diagnosed with Acute Lymphoblastic Leukemia (ALL),72,sex,female,male,6,NA,1,no,yes,no,NA,NA,1,no,GO:0060765,0.599
RSCID.450395.70157,GSE19577,"MLL partner genes confer distinct biological and clinical signatures of pediatric AML, an AIEOP study",21,genotype,AF6,AF10,33,NA,0.813,no,no,no,NA,NA,0.553,no,GO:0099503,0.556
RSCID.457207.76907,GSE19615,Integrated genomic and function characterization of the 8q22 gain,115,organism part,ER: pos,ER: neg,97,NCI NIH HHS,0.904,no,no,no,0.885,0.88,0.69,no,GO:0006928,0.552
RSCID.457225.68785,GSE19639,Hyperactivation of PI3K promotes escape from hormone dependence in estrogen receptor-positive breast cancer,24,treatment,lted: yes,reference subject role,106,NCI NIH HHS,0.873,no,no,no,0.824,0.854,0.565,no,GO:0006952,0.601
RSCID.457227.70892,GSE19650,Expression data from epithelial cells during the process of multistep pancreatic carcinogenesis,13,disease staging,pancreatic intraductal papillary-mucinous adenoma,reference subject role,802,NA,0.861,no,no,no,NA,NA,0.863,no,GO:0031012,0.533
RSCID.459474.69745,GSE19665,Aberrant DNA methylation in hepatitis B and C virus-related hepatocellular carcinoma,20,cell type,cancer,non-cancerous; reference subject role,363,NA,0.891,no,no,no,NA,NA,0.886,no,GO:0006955,0.543
RSCID.457231.70322,GSE19667,Threshold of Biologic Response of the Small Airway Epithelium to Low Levels of Tobacco Smoke,21,phenotype,Non smoking,symptomatic smoker,17,NCRR NIH HHS,0.927,no,no,no,0.791,0.931,0.623,no,GO:0016491,0.609
RSCID.459462.70494,GSE19728,Expression data from different grades (WHO) of astrocytomas (ACM),21,disease,Astrocytoma,healthy control,592,NA,0.816,no,no,no,NA,NA,0.847,no,GO:0097458,0.539
RSCID.449893.67548,GSE19743,A large-scale clinical study of gene expression response to severe burn injury,120,clinical history,mid; Burn injury,reference subject role,561,NIGMS NIH HHS,0.768,yes,no,no,0.687,0.776,0.689,yes,GO:0006955,0.548
RSCID.457217.68788,GSE19804,Genome-wide screening of transcriptional modulation in non-smoking female lung cancer in Taiwan,120,disease,lung carcinoma,reference subject role,455,NA,0.912,no,no,no,NA,NA,0.96,no,GO:0006928,0.544
